dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,heroku_b29181ca278f904,card,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,heroku_b29181ca278f904,category,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,heroku_b29181ca278f904,topic,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,heroku_b29181ca278f904,card,cat_id,2,int,NULL,NULL,NULL,NULL,NULL
mysql,heroku_b29181ca278f904,card,prompt,3,text,65535,NULL,NULL,NULL,NULL
mysql,heroku_b29181ca278f904,card,question,4,text,65535,NULL,NULL,NULL,NULL
mysql,heroku_b29181ca278f904,card,answer,5,text,65535,NULL,NULL,NULL,NULL
mysql,heroku_b29181ca278f904,category,cat_id,2,int,NULL,NULL,NULL,NULL,NULL
mysql,heroku_b29181ca278f904,category,category,3,varchar,25,NULL,NULL,NULL,NULL
mysql,heroku_b29181ca278f904,topic,cat_id,2,int,NULL,NULL,NULL,NULL,NULL
mysql,heroku_b29181ca278f904,topic,topic,3,varchar,25,NULL,NULL,NULL,NULL
